"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"3","female","Negra","master's degree","none","single","sometimes",0,1,0,"< 5",87,93,91,90
"5","male","Asiática","some college","none","married","sometimes",0,0,0,"5 - 10",76,78,75,76
"6","female","Negra","associate's degree","none","married","regularly",0,1,0,"5 - 10",73,84,79,79
"7","female","Negra","some college","completed","widowed","never",1,1,1,"5 - 10",85,93,89,89
"8","male","Negra","some college","none","married","sometimes",0,1,1,"> 10",41,43,39,41
"9","male","Hispana","high school","completed","single","sometimes",1,1,1,"> 10",65,64,68,66
"12","male","Hispana","associate's degree","none","divorced","sometimes",0,1,0,"5 - 10",40,52,43,45
"13","female","Negra","high school","none","married","regularly",1,1,1,"5 - 10",66,82,74,74
"14","male","Americana","some college","completed","single","sometimes",0,1,1,"> 10",80,73,71,75
"15","female","Americana","master's degree","none","divorced","sometimes",0,1,1,"< 5",48,53,58,53
"18","female","Negra","some high school","none","divorced","sometimes",0,1,0,"5 - 10",18,32,28,26
"19","male","Asiática","master's degree","completed","single","sometimes",1,1,1,"5 - 10",46,42,47,45
"20","female","Asiática","associate's degree","none","married","never",0,1,1,"< 5",50,56,58,55
"21","male","Hispana","high school","none","married","sometimes",0,1,0,"5 - 10",66,69,63,66
"22","female","Negra","some college","completed","married","sometimes",1,1,0,"5 - 10",65,75,70,70
"26","male","Americana","master's degree","none","married","regularly",0,1,0,"5 - 10",75,76,76,76
"27","male","Negra","some college","none","married","sometimes",0,1,0,"< 5",66,53,53,57
"28","female","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"> 10",69,70,76,72
"29","male","Asiática","high school","none","married","sometimes",1,1,1,"5 - 10",70,70,65,68
"30","female","Hispana","some college","none","single","sometimes",0,0,1,"< 5",66,72,72,70
"32","female","Caucásica","master's degree","none","divorced","sometimes",0,1,0,"5 - 10",56,73,66,65
"36","female","Hispana","associate's degree","none","married","regularly",1,1,1,"5 - 10",76,82,85,81
"37","female","Hispana","some high school","none","married","regularly",0,1,1,"5 - 10",51,64,60,58
"38","female","Hispana","associate's degree","completed","married","regularly",1,1,0,"5 - 10",77,91,90,86
"39","male","Negra","associate's degree","none","single","regularly",0,1,0,"5 - 10",58,56,58,57
"40","male","Asiática","associate's degree","none","married","never",0,0,0,"5 - 10",53,60,52,55
"43","female","Caucásica","associate's degree","none","married","sometimes",0,1,0,"< 5",48,55,52,52
"44","male","Negra","associate's degree","none","single","sometimes",0,1,0,"< 5",63,53,55,57
"49","male","Asiática","some college","none","divorced","regularly",0,1,0,"> 10",56,45,43,48
"50","male","Hispana","high school","none","single","sometimes",0,1,0,"5 - 10",88,78,75,80
"52","female","Asiática","high school","none","divorced","sometimes",0,1,1,"5 - 10",33,41,43,39
"53","female","Caucásica","associate's degree","completed","married","sometimes",0,1,0,"> 10",84,86,87,86
"54","male","Hispana","associate's degree","none","single","sometimes",1,1,1,"5 - 10",52,55,49,52
"56","female","Asiática","some high school","none","single","regularly",0,1,0,"> 10",0,17,10,9
"58","male","Americana","associate's degree","none","married","sometimes",0,1,1,"5 - 10",62,61,55,59
"59","female","Hispana","some high school","none","married","sometimes",0,0,0,"5 - 10",59,58,59,59
"60","male","Negra","some high school","none","married","never",0,1,1,"< 5",63,62,58,61
"61","male","Hispana","some high school","none","married","sometimes",0,1,0,"5 - 10",45,37,37,40
"62","female","Asiática","some college","none","married","regularly",1,1,0,"5 - 10",61,73,75,70
"64","female","Asiática","associate's degree","none","single","sometimes",0,1,0,"5 - 10",39,64,57,53
"65","male","Hispana","some college","completed","divorced","sometimes",0,1,1,"> 10",64,55,64,61
"66","female","Americana","associate's degree","none","single","regularly",0,1,1,"5 - 10",42,51,49,47
"67","male","Asiática","some high school","none","divorced","never",0,1,0,"5 - 10",59,56,54,56
"72","female","Hispana","some high school","completed","divorced","sometimes",0,1,0,"> 10",62,75,73,70
"73","female","Caucásica","master's degree","none","divorced","never",0,1,0,"5 - 10",60,68,68,65
"74","female","Negra","associate's degree","none","married","regularly",0,0,1,"> 10",49,50,52,50
"77","male","Caucásica","associate's degree","none","married","regularly",0,0,1,"5 - 10",74,64,64,67
"79","female","Asiática","some college","none","divorced","sometimes",0,0,1,"5 - 10",73,80,82,78
"81","female","Hispana","associate's degree","none","single","sometimes",0,0,1,"5 - 10",71,71,74,72
"82","female","Americana","some college","none","divorced","regularly",0,1,0,"< 5",57,69,67,64
"86","male","Asiática","associate's degree","completed","married","regularly",1,1,1,"> 10",45,46,52,48
"87","female","Negra","some college","none","married","regularly",0,1,1,"5 - 10",81,87,94,87
"88","male","Negra","some high school","completed","married","regularly",0,1,0,"5 - 10",63,65,61,63
"91","female","Hispana","bachelor's degree","none","married","regularly",0,1,0,"< 5",64,66,62,64
"92","male","Negra","some college","none","married","sometimes",1,1,0,"5 - 10",79,67,67,71
"93","male","Hispana","bachelor's degree","completed","single","sometimes",1,1,1,"5 - 10",68,74,74,72
"94","female","Hispana","associate's degree","none","married","regularly",0,1,0,"5 - 10",87,92,91,90
"95","male","Negra","high school","completed","married","regularly",1,1,0,"5 - 10",61,44,48,51
"97","female","Asiática","some college","none","married","sometimes",0,0,0,"5 - 10",58,67,72,66
"98","female","Hispana","master's degree","none","married","sometimes",1,1,1,"5 - 10",87,100,100,96
"100","female","Negra","associate's degree","none","married","sometimes",0,1,0,"5 - 10",52,76,70,66
"101","female","Negra","some high school","none","single","regularly",1,1,0,"5 - 10",72,64,73,70
"102","female","Hispana","associate's degree","completed","single","sometimes",0,1,0,"> 10",79,90,99,89
"104","male","Americana","associate's degree","none","married","sometimes",0,0,0,"5 - 10",54,53,47,51
"105","female","Hispana","some college","none","married","never",0,1,0,"< 5",47,56,51,51
"106","female","Caucásica","bachelor's degree","completed","married","regularly",0,1,0,"< 5",98,99,100,99
"107","male","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",84,77,74,78
"108","female","Negra","bachelor's degree","none","single","never",1,1,0,"5 - 10",72,83,79,78
"109","female","Hispana","bachelor's degree","none","married","never",1,1,1,"5 - 10",75,80,77,77
"110","female","Hispana","some high school","none","single","regularly",0,0,1,"> 10",54,64,63,60
"111","female","Asiática","some college","none","divorced","sometimes",1,1,0,"5 - 10",55,69,65,63
"112","female","Asiática","bachelor's degree","completed","married","never",0,1,0,"5 - 10",76,90,86,84
"113","male","Negra","associate's degree","completed","married","sometimes",0,1,0,"< 5",88,87,90,88
"116","male","Caucásica","some college","none","single","regularly",1,1,0,"< 5",82,79,73,78
"117","female","Negra","high school","none","single","never",0,1,0,"> 10",86,94,85,88
"120","male","Hispana","master's degree","none","single","never",0,1,1,"< 5",77,81,72,77
"122","male","Hispana","master's degree","none","single","sometimes",1,1,0,"< 5",87,84,82,84
"123","male","Asiática","some high school","completed","single","regularly",0,1,1,"< 5",52,36,40,43
"126","male","Hispana","bachelor's degree","completed","married","sometimes",0,1,1,"> 10",76,80,76,77
"128","male","Negra","some high school","completed","divorced","sometimes",0,1,1,"5 - 10",51,54,41,49
"129","male","Caucásica","high school","none","divorced","sometimes",0,0,0,"< 5",67,54,54,58
"131","male","Hispana","some college","completed","married","sometimes",0,0,1,"> 10",73,61,70,68
"132","female","Hispana","some high school","none","married","sometimes",1,1,0,"5 - 10",76,72,71,73
"133","female","Asiática","some college","none","married","regularly",1,1,1,"5 - 10",60,62,65,62
"135","male","Americana","high school","none","single","sometimes",1,1,0,"5 - 10",57,43,47,49
"136","male","Hispana","some college","none","divorced","sometimes",0,1,1,"> 10",90,74,79,81
"137","female","Asiática","some college","none","single","regularly",0,1,0,"< 5",21,38,33,31
"138","female","Hispana","bachelor's degree","completed","married","sometimes",0,1,1,"< 5",65,73,79,72
"139","male","Caucásica","associate's degree","completed","married","regularly",1,1,1,"5 - 10",100,100,95,98
"140","male","Americana","some high school","completed","married","sometimes",1,1,1,"5 - 10",62,67,69,66
"141","female","Negra","associate's degree","completed","single","sometimes",0,1,0,"< 5",57,68,64,63
"144","female","Asiática","some college","completed","married","regularly",0,1,0,"< 5",69,88,88,82
"145","female","Caucásica","high school","completed","married","regularly",0,1,0,"5 - 10",67,75,79,74
"148","male","Hispana","associate's degree","none","married","regularly",1,1,0,"> 10",70,63,66,66
"149","male","Negra","associate's degree","completed","single","sometimes",0,1,1,"5 - 10",82,78,74,78
"150","female","Caucásica","some college","completed","married","sometimes",0,1,0,"5 - 10",75,88,85,83
"151","male","Negra","master's degree","none","single","never",1,1,0,"5 - 10",48,53,52,51
"152","male","Asiática","high school","none","divorced","sometimes",0,1,0,"5 - 10",52,53,49,51
"153","female","Caucásica","master's degree","none","married","never",0,1,1,"< 5",76,89,86,84
"154","female","Asiática","bachelor's degree","completed","married","sometimes",0,0,0,"5 - 10",96,100,100,99
"155","male","Asiática","high school","completed","single","sometimes",0,1,1,"5 - 10",53,51,51,52
"156","female","Negra","master's degree","completed","married","regularly",1,1,1,"> 10",62,79,83,75
"157","female","Negra","high school","completed","married","regularly",0,1,1,"5 - 10",70,84,79,78
"158","male","Americana","high school","completed","divorced","regularly",0,1,0,"> 10",76,75,77,76
"159","male","Caucásica","some high school","none","married","sometimes",1,1,0,"< 5",91,86,76,84
"160","female","Hispana","some college","none","single","never",0,1,0,"5 - 10",76,84,78,79
"161","female","Asiática","associate's degree","none","married","sometimes",0,1,0,"5 - 10",63,67,70,67
"162","female","Asiática","bachelor's degree","completed","married","sometimes",1,1,0,"< 5",41,50,52,48
"163","female","Asiática","master's degree","completed","divorced","sometimes",0,1,0,"5 - 10",81,92,89,87
"164","female","Negra","high school","completed","married","sometimes",1,1,0,"< 5",44,53,56,51
"166","female","Negra","master's degree","completed","divorced","regularly",0,1,0,"5 - 10",54,72,65,64
"167","female","Hispana","some high school","completed","divorced","regularly",0,0,0,"5 - 10",99,100,100,100
"168","male","Asiática","master's degree","completed","single","sometimes",0,1,1,"< 5",60,68,75,68
"169","female","Asiática","some college","none","single","sometimes",0,1,1,"5 - 10",46,64,66,59
"172","male","Asiática","associate's degree","completed","married","never",0,1,1,"< 5",61,65,62,63
"173","male","Caucásica","high school","none","married","never",0,1,0,"< 5",75,73,62,70
"174","male","Hispana","some high school","completed","married","sometimes",1,1,1,"5 - 10",62,66,68,65
"175","male","Negra","some high school","none","married","regularly",1,1,0,"< 5",47,51,45,48
"176","female","Asiática","bachelor's degree","none","single","sometimes",0,1,0,"< 5",74,86,85,82
"177","female","Caucásica","associate's degree","none","married","sometimes",0,1,0,"5 - 10",66,65,69,67
"178","male","Hispana","some college","completed","married","sometimes",1,1,0,"< 5",73,81,77,77
"182","male","Hispana","associate's degree","none","married","regularly",1,1,0,"< 5",60,54,52,55
"187","female","Asiática","associate's degree","completed","single","regularly",1,1,1,"< 5",66,83,86,78
"188","female","Hispana","some college","none","divorced","sometimes",0,1,0,"< 5",63,79,75,72
"189","male","Asiática","associate's degree","none","married","sometimes",0,1,0,"5 - 10",69,77,69,72
"193","male","Caucásica","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",84,62,63,70
"194","male","Caucásica","high school","completed","married","regularly",1,1,0,"5 - 10",83,81,77,80
"195","female","Negra","some college","none","married","regularly",0,1,1,"< 5",73,80,76,76
"197","male","Hispana","some high school","completed","widowed","sometimes",0,1,0,"< 5",77,77,77,77
"199","female","Asiática","high school","none","divorced","sometimes",0,1,0,"5 - 10",42,62,60,55
"200","male","Asiática","associate's degree","completed","single","regularly",1,1,0,"5 - 10",61,51,57,56
"203","female","Caucásica","associate's degree","completed","married","sometimes",0,1,0,"< 5",80,84,86,83
"205","male","Negra","high school","none","married","sometimes",1,1,0,"< 5",64,75,68,69
"207","female","Hispana","high school","completed","widowed","regularly",0,1,0,"5 - 10",57,69,75,67
"208","male","Negra","associate's degree","none","married","sometimes",0,0,0,"> 10",89,86,74,83
"210","male","Hispana","some high school","none","married","regularly",1,1,0,"5 - 10",88,81,76,82
"213","female","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",72,72,71,72
"214","male","Hispana","high school","none","single","regularly",0,0,0,"5 - 10",58,50,55,54
